Record Date,Security Type Description,Security Description,Average Interest Rate Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
8/31/2022,Marketable,Treasury Bills,1.971,1,2022,4,2022,3,8,31
7/31/2022,Marketable,Treasury Bills,1.511,1,2022,4,2022,3,7,31
6/30/2022,Marketable,Treasury Bills,1.073,1,2022,3,2022,2,6,30
5/31/2022,Marketable,Treasury Bills,0.728,1,2022,3,2022,2,5,31
4/30/2022,Marketable,Treasury Bills,0.505,1,2022,3,2022,2,4,30
3/31/2022,Marketable,Treasury Bills,0.329,1,2022,2,2022,1,3,31
2/28/2022,Marketable,Treasury Bills,0.185,1,2022,2,2022,1,2,28
1/31/2022,Marketable,Treasury Bills,0.103,1,2022,2,2022,1,1,31
12/31/2021,Marketable,Treasury Bills,0.071,1,2022,1,2021,4,12,31
11/30/2021,Marketable,Treasury Bills,0.061,1,2022,1,2021,4,11,30
10/31/2021,Marketable,Treasury Bills,0.056,1,2022,1,2021,4,10,31
9/30/2021,Marketable,Treasury Bills,0.053,1,2021,4,2021,3,9,30
8/31/2021,Marketable,Treasury Bills,0.051,1,2021,4,2021,3,8,31
7/31/2021,Marketable,Treasury Bills,0.047,1,2021,4,2021,3,7,31
6/30/2021,Marketable,Treasury Bills,0.045,1,2021,3,2021,2,6,30
5/31/2021,Marketable,Treasury Bills,0.049,1,2021,3,2021,2,5,31
4/30/2021,Marketable,Treasury Bills,0.06,1,2021,3,2021,2,4,30
3/31/2021,Marketable,Treasury Bills,0.076,1,2021,2,2021,1,3,31
2/28/2021,Marketable,Treasury Bills,0.09,1,2021,2,2021,1,2,28
1/31/2021,Marketable,Treasury Bills,0.109,1,2021,2,2021,1,1,31
12/31/2020,Marketable,Treasury Bills,0.121,1,2021,1,2020,4,12,31
11/30/2020,Marketable,Treasury Bills,0.146,1,2021,1,2020,4,11,30
10/31/2020,Marketable,Treasury Bills,0.161,1,2021,1,2020,4,10,31
9/30/2020,Marketable,Treasury Bills,0.179,1,2020,4,2020,3,9,30
8/31/2020,Marketable,Treasury Bills,0.207,1,2020,4,2020,3,8,31
7/31/2020,Marketable,Treasury Bills,0.266,1,2020,4,2020,3,7,31
6/30/2020,Marketable,Treasury Bills,0.328,1,2020,3,2020,2,6,30
5/31/2020,Marketable,Treasury Bills,0.403,1,2020,3,2020,2,5,31
4/30/2020,Marketable,Treasury Bills,0.596,1,2020,3,2020,2,4,30
3/31/2020,Marketable,Treasury Bills,1.216,1,2020,2,2020,1,3,31
2/29/2020,Marketable,Treasury Bills,1.643,1,2020,2,2020,1,2,29
1/31/2020,Marketable,Treasury Bills,1.683,1,2020,2,2020,1,1,31
12/31/2019,Marketable,Treasury Bills,1.761,1,2020,1,2019,4,12,31
11/30/2019,Marketable,Treasury Bills,1.84,1,2020,1,2019,4,11,30
10/31/2019,Marketable,Treasury Bills,1.975,1,2020,1,2019,4,10,31
9/30/2019,Marketable,Treasury Bills,2.136,1,2019,4,2019,3,9,30
8/31/2019,Marketable,Treasury Bills,2.226,1,2019,4,2019,3,8,31
7/31/2019,Marketable,Treasury Bills,2.341,1,2019,4,2019,3,7,31
6/30/2019,Marketable,Treasury Bills,2.417,1,2019,3,2019,2,6,30
5/31/2019,Marketable,Treasury Bills,2.474,1,2019,3,2019,2,5,31
4/30/2019,Marketable,Treasury Bills,2.488,1,2019,3,2019,2,4,30
3/31/2019,Marketable,Treasury Bills,2.49,1,2019,2,2019,1,3,31
2/28/2019,Marketable,Treasury Bills,2.467,1,2019,2,2019,1,2,28
1/31/2019,Marketable,Treasury Bills,2.437,1,2019,2,2019,1,1,31
12/31/2018,Marketable,Treasury Bills,2.368,1,2019,1,2018,4,12,31
11/30/2018,Marketable,Treasury Bills,2.293,1,2019,1,2018,4,11,30
10/31/2018,Marketable,Treasury Bills,2.203,1,2019,1,2018,4,10,31
9/30/2018,Marketable,Treasury Bills,2.118,1,2018,4,2018,3,9,30
8/31/2018,Marketable,Treasury Bills,2.042,1,2018,4,2018,3,8,31
7/31/2018,Marketable,Treasury Bills,1.969,1,2018,4,2018,3,7,31
6/30/2018,Marketable,Treasury Bills,1.891,1,2018,3,2018,2,6,30
5/31/2018,Marketable,Treasury Bills,1.808,1,2018,3,2018,2,5,31
4/30/2018,Marketable,Treasury Bills,1.694,1,2018,3,2018,2,4,30
3/31/2018,Marketable,Treasury Bills,1.6,1,2018,2,2018,1,3,31
2/28/2018,Marketable,Treasury Bills,1.442,1,2018,2,2018,1,2,28
1/31/2018,Marketable,Treasury Bills,1.338,1,2018,2,2018,1,1,31
12/31/2017,Marketable,Treasury Bills,1.248,1,2018,1,2017,4,12,31
11/30/2017,Marketable,Treasury Bills,1.165,1,2018,1,2017,4,11,30
10/31/2017,Marketable,Treasury Bills,1.099,1,2018,1,2017,4,10,31
9/30/2017,Marketable,Treasury Bills,1.071,1,2017,4,2017,3,9,30
8/31/2017,Marketable,Treasury Bills,1.035,1,2017,4,2017,3,8,31
